Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
mdp,3,bottom_right,19.0,70.37641310691833,196.0071426749363,8.0,11.0,14.0,15.0,19.0,21.0,22.0,27.0,53.0
mdp,4,top_left,54.0,67.58828091621399,206.5929291125632,5.0,10.0,13.0,15.0,18.0,20.0,22.0,28.0,56.0
mdp,4,top_right,17.0,79.91427206993103,232.49242404917484,7.0,9.0,20.0,23.0,25.0,28.0,32.0,38.0,64.0
mdp,4,bottom_left,17.0,63.830641984939575,233.1492782986672,5.0,12.0,15.0,17.0,20.0,23.0,28.0,35.0,64.0
mdp,4,bottom_right,21.0,48.50739097595215,267.2792206135784,11.0,14.0,17.0,19.0,25.0,29.0,33.0,35.0,78.0
mdp,5,top_left,29.0,42.56071901321411,281.84776310850214,8.0,15.0,19.0,21.0,24.0,27.0,33.0,51.0,79.0
mdp,5,top_right,4.0,34.15713310241699,319.0782104868017,7.0,12.0,14.0,15.0,17.0,19.0,27.0,34.0,96.0
mdp,5,bottom_left,12.0,37.903785943984985,296.7766952966367,8.0,11.0,14.0,16.0,18.0,19.0,22.0,43.0,84.0
mdp,5,bottom_right,26.0,51.01842999458313,396.48737341529136,5.0,9.0,14.0,16.0,19.0,27.0,34.0,49.0,109.0
mdp,6,top_left,31.0,55.10929894447327,329.58787847867967,9.0,12.0,17.0,29.0,33.0,39.0,43.0,73.0,89.0
mdp,6,top_right,23.0,28.668675899505615,201.66399692442866,8.0,13.0,15.0,17.0,20.0,25.0,32.0,46.0,54.0
mdp,6,bottom_left,21.0,52.35561800003052,300.64675298172546,7.0,10.0,13.0,16.0,19.0,22.0,25.0,67.0,83.0
mdp,6,bottom_right,15.0,47.79768204689026,314.5046173579945,9.0,15.0,18.0,22.0,28.0,33.0,44.0,49.0,88.0
mdp,7,top_left,16.0,46.441882848739624,289.1614716074869,7.0,15.0,19.0,22.0,27.0,30.0,38.0,45.0,80.0
mdp,7,top_right,42.0,68.34261798858643,380.7594513539335,7.0,12.0,16.0,18.0,22.0,34.0,41.0,75.0,110.0
mdp,7,bottom_left,10.0,47.87692093849182,357.5168106668142,7.0,12.0,16.0,19.0,21.0,24.0,27.0,33.0,99.0
mdp,7,bottom_right,21.0,47.30507707595825,290.50461735799456,9.0,13.0,19.0,21.0,25.0,27.0,30.0,34.0,81.0
mdp,8,top_left,22.0,47.993103981018066,255.3624817342636,8.0,10.0,15.0,18.0,20.0,24.0,45.0,53.0,69.0
mdp,8,top_right,10.0,32.44945001602173,192.37972567696679,8.0,11.0,15.0,18.0,20.0,26.0,33.0,38.0,53.0
mdp,8,bottom_left,57.0,81.84308505058289,363.57568516986,14.0,26.0,30.0,36.0,41.0,50.0,75.0,90.0,105.0
mdp,8,bottom_right,31.0,56.546035051345825,292.9898987322331,6.0,10.0,13.0,17.0,22.0,25.0,30.0,40.0,80.0
mdp,9,top_left,20.0,52.80724215507507,358.3452377915604,11.0,14.0,17.0,19.0,26.0,30.0,37.0,61.0,99.0
mdp,9,top_right,34.0,69.72652292251587,384.6295090390223,8.0,11.0,14.0,18.0,21.0,25.0,30.0,37.0,107.0
mdp,9,bottom_left,14.0,60.604458808898926,440.256926036992,8.0,11.0,17.0,23.0,26.0,30.0,38.0,47.0,121.0
mdp,9,bottom_right,53.0,91.68197917938232,538.470129472589,12.0,18.0,27.0,53.0,56.0,61.0,63.0,75.0,155.0
mdp,10,top_left,12.0,66.24142003059387,477.8670990922586,12.0,15.0,18.0,20.0,24.0,28.0,34.0,70.0,128.0
mdp,10,top_right,19.0,47.219910860061646,307.4751801064716,8.0,12.0,16.0,19.0,23.0,26.0,32.0,39.0,84.0
mdp,10,bottom_left,23.0,59.2528350353241,377.07315985291825,7.0,9.0,13.0,16.0,21.0,25.0,35.0,47.0,102.0
mdp,10,bottom_right,12.0,58.661571979522705,390.67619023324846,9.0,15.0,17.0,19.0,22.0,27.0,38.0,43.0,114.0
